DATA,Fundo,CDI,IPCA,IPCA+6%
2014-02-10,0.9950592207390894,1.0107513815932123,1.006175908693204,1.0127113500975216
2014-02-11,0.995480045247283,1.011144301085293,1.0064304899749867,1.0132018363158115
2014-02-12,0.9958348892286272,1.0115373733208968,1.0066851356705846,1.0136925600911608
2014-02-13,0.9961662419383395,1.0119305983594016,1.0069398457962955,1.0141835215386255
2014-02-14,0.996635101192645,1.0123239762602079,1.0071946203684214,1.014674720773317
2014-02-17,0.9970851497898771,1.0127175070827392,1.0074494594032688,1.0151661579104032
2014-02-18,0.9975883287024347,1.0131111908864425,1.0077043629171476,1.015657833065107
2014-02-19,0.9981242923434519,1.0135050277307878,1.0079593309263724,1.0161497463527072
2014-02-20,0.9984905035998123,1.0138990176752678,1.0082143634472616,1.016641897888539
2014-02-21,0.999036344333504,1.0142931607793988,1.008469460496138,1.017134287787993
2014-02-24,0.9995074628825835,1.0146874571027202,1.0087246220893282,1.0176269161665157
2014-02-25,0.9999002226830651,1.0150819067047943,1.0089798482431633,1.0181197831396096
2014-02-26,1.0002956360399895,1.0154787022221252,1.0092351389739782,1.0186128888228334
2014-02-27,1.0007271122682349,1.015884406273237,1.0094904942981122,1.0191062333318013
2014-02-28,1.0012024686095857,1.0162902724112313,1.0097459142319085,1.0195998167821836
2014-03-05,1.001441900128149,1.0166948474057755,1.0100644950950397,1.0201573660704437
2014-03-06,1.0018592306836818,1.0170995834575793,1.0103831764723348,1.0207152202442125
2014-03-07,1.0022416593729082,1.017504480630758,1.0107019583955066,1.021273379470211
2014-03-10,1.002526602678338,1.0179095389894524,1.011020840896278,1.0218318439152514
2014-03-11,1.0028604399534564,1.0183147585978287,1.0113398240063818,1.022390613746237
2014-03-12,1.0032836309086206,1.018720139520079,1.0116589077575608,1.0229496891301626
2014-03-13,1.0037913822700621,1.0191256818204204,1.011978092181568,1.023509070234114
2014-03-14,1.004233386818733,1.0195313855630963,1.0122973773101662,1.0240687572252687
2014-03-17,1.0046184634572866,1.0199372508123752,1.0126167631751282,1.0246287502708953
2014-03-18,1.0050247834481276,1.0203432776325512,1.012936249808237,1.0251890495383542
2014-03-19,1.005388475296077,1.020750925178831,1.0132558372412857,1.025749655195097
2014-03-20,1.0057211716356549,1.0211587355884584,1.013575525506077,1.0263105674086672
2014-03-21,1.0061383564136168,1.0215667089265006,1.013895314634424,1.0268717863466996
2014-03-24,1.0066115614937652,1.0219748452580508,1.01421520465815,1.0274333121769208
2014-03-25,1.0063572885489882,1.0223831446482283,1.014535195609088,1.027995145067149
2014-03-26,1.0060989662162776,1.022791607162178,1.0148552875190808,1.0285572851852944
2014-03-27,1.0056192599794858,1.0231987702730734,1.015175480419982,1.0291197326993589
2014-03-28,1.0057648259887324,1.0236060954715314,1.0154957743436546,1.0296824877774362
2014-03-31,1.0062353516816562,1.0240135828220776,1.015816169321972,1.0302455505877122
2014-04-01,1.0065275247207528,1.0244212323892632,1.0160672870748753,1.0307385412154195
2014-04-02,1.0079232355484047,1.024829044237665,1.0163184669060636,1.0312317677478187
2014-04-03,1.0093991604576786,1.025246200900122,1.0165697088308834,1.031725230297794
2014-04-04,1.00693536515868,1.0256635273661983,1.0168210128646846,1.0322189289782842
2014-04-07,1.0062795202237689,1.0260810237050126,1.017072379022821,1.0327128639022818
2014-04-08,1.005036936891102,1.0264986899857118,1.0173238073206505,1.0332070351828335
2014-04-09,1.0052364741123745,1.0269165262774704,1.0175752977735342,1.03370144293304
2014-04-10,1.0042883027176228,1.0273345326494916,1.0178268503968373,1.0341960872660563
2014-04-11,1.0042649137113517,1.0277527091710066,1.0180784652059292,1.0346909682950916
2014-04-14,1.0046743456117495,1.0281710559112747,1.0183301422161823,1.0351860861334088
2014-04-15,1.005079205570446,1.0285895729395833,1.0185818814429735,1.0356814408943253
2014-04-16,1.0055233685290539,1.0290082603252484,1.0188336829016829,1.036177032691213
2014-04-17,1.0059470611510524,1.0294271181376138,1.019085546607695,1.0366728616374976
2014-04-22,1.0063561414599775,1.0298461464460518,1.0193374725763977,1.0371689278466594
2014-04-23,1.0067523120866608,1.0302653453199626,1.0195894608231828,1.0376652314322328
2014-04-24,1.0072172706287048,1.030684714828775,1.019841511363446,1.0381617725078065
2014-04-25,1.0076383123506318,1.031104255041946,1.0200936242125869,1.0386585511870237
2014-04-28,1.0080594348942225,1.0315239660289608,1.0203457993860086,1.039155567583582
2014-04-29,1.0084894669338789,1.0319438478593328,1.0205980368991179,1.039652821811233
2014-04-30,1.0089124251950479,1.032363900602604,1.020850336767326,1.0401503139837835
2014-05-02,1.0093425101645397,1.0327841243283442,1.0210359695884528,1.0405800375023717
2014-05-05,1.0097824766930366,1.033204519106152,1.0212216361653055,1.0410099385552065
2014-05-06,1.010183306627359,1.033625085005654,1.0214073365040224,1.0414400172156337
2014-05-07,1.0105878462213302,1.0340458220965056,1.0215930706107428,1.0418702735570295
2014-05-08,1.010998045599767,1.0344667304483899,1.021778838491607,1.0423007076528004
2014-05-09,1.0114157174779146,1.0348878101310188,1.021964640152757,1.0427313195763828
2014-05-12,1.0118050920576962,1.0353090612141327,1.022150475600335,1.043162109401244
2014-05-13,1.012219737147859,1.0357304837674999,1.022336344840485,1.0435930772008812
2014-05-14,1.012635244804875,1.0361520778609175,1.0225222478793516,1.0440242230488226
2014-05-15,1.0130673582924845,1.0365738435642107,1.022708184723081,1.044455547018626
2014-05-16,1.0135682758085611,1.0369957809472334,1.0228941553778204,1.0448870491838802
2014-05-19,1.0139762642659087,1.037417890079868,1.023080159849718,1.0453187296182038
2014-05-20,1.0144290814505368,1.037840171032025,1.023266198144923,1.0457505883952465
2014-05-21,1.0148458957355722,1.0382626238736437,1.0234522702695859,1.046182625588688
2014-05-22,1.0152899412046676,1.0386852486746914,1.0236383762298584,1.0466148412722382
2014-05-23,1.0157267822652436,1.0391080455051644,1.0238245160318933,1.0470472355196383
2014-05-26,1.0161451257164968,1.0395310144350873,1.0240106896818444,1.0474798084046593
2014-05-27,1.016573997793759,1.039954155534513,1.0241968971858664,1.0479125600011028
2014-05-28,1.0170014792413387,1.0403774688735234,1.0243831385501156,1.048345490382801
2014-05-29,1.0174318108497478,1.0408009545222283,1.0245694137807493,1.048778599623616
2014-05-30,1.0180843414354406,1.0412246125507665,1.0247557228839255,1.0492118877974417
2014-06-02,1.018506428116537,1.0416484430293051,1.0249212366715164,1.0496240237559207
2014-06-03,1.0189700833116433,1.0420724460280402,1.025086777192126,1.050036321603576
2014-06-04,1.0193802429391405,1.0424966216171958,1.0252523444500719,1.0504487814039984
2014-06-05,1.0198179120983344,1.042920969867025,1.0254179384496729,1.0508614032208041
2014-06-06,1.0203277335202738,1.0433454908478093,1.025583559195248,1.0512741871176339
2014-06-09,1.0208090958493952,1.0437716870473657,1.0257492066911171,1.0516871331581534
2014-06-10,1.021233515135996,1.0441965543125782,1.0259148809416008,1.0521002414060538
2014-06-11,1.0216298448946768,1.044621594520011,1.0260805819510204,1.0525135119250508
2014-06-12,1.0220687240021025,1.0450468077400603,1.0262463097236978,1.0529269447788856
2014-06-13,1.0224977452191204,1.0454721940431508,1.0264120642639558,1.0533405400313238
2014-06-16,1.0222932405855454,1.045897753499736,1.0265778455761179,1.0537542977461567
2014-06-17,1.0209368970916957,1.0463234861802981,1.0267436536645078,1.0541682179872003
2014-06-18,1.0253717350665834,1.0467493921553477,1.0269094885334507,1.0545823008182957
2014-06-20,1.0228284361657871,1.0471754714954244,1.0270753501872718,1.0549965463033093
2014-06-23,1.0216494526619104,1.0476017242710967,1.0272412386302974,1.0554109545061323
2014-06-24,1.0243563158249929,1.0480281505529612,1.027407153866854,1.0558255254906812
2014-06-25,1.0203936550871417,1.0484547504116437,1.0275730959012697,1.0562402593208975
2014-06-26,1.02048478937045,1.0488815239177987,1.0277390647378724,1.0566551560607478
2014-06-27,1.0187271894531615,1.0493084711421095,1.0279050603809912,1.0570702157742238
2014-06-30,1.0187747856784461,1.0497355921552878,1.0280710828349557,1.0574854385253425
2014-07-01,1.018578950304237,1.0501628870280746,1.0280759552498748,1.0577349977204344
2014-07-02,1.0156170639745135,1.0505903558312393,1.0280808276878863,1.0579846158097574
2014-07-03,1.0199359586915389,1.0510179986355803,1.02808570014899,1.0582342928072102
2014-07-04,1.021114030401258,1.0514458155119248,1.0280905726331862,1.0584840287266946
2014-07-07,1.0212092150060257,1.0518738065311288,1.028095445140475,1.058733823582116
2014-07-08,1.0195068952154374,1.0523019717640774,1.0281003176708563,1.0589836773873826
2014-07-09,1.0197280770349055,1.052730311281684,1.0281051902243303,1.0592335901564065
2014-07-10,1.0229999976696589,1.0531588251548911,1.0281100628008972,1.0594835619031024
2014-07-11,1.0239779094032118,1.0535875134546704,1.0281149354005572,1.0597335926413889
2014-07-14,1.027024109621617,1.054016376252022,1.0281198080233103,1.0599836823851874
2014-07-15,1.0277551136598637,1.0544454136179755,1.0281246806691564,1.0602338311484227
2014-07-16,1.0237928355354833,1.0548746256235886,1.0281295533380959,1.0604840389450232
2014-07-17,1.021758535977999,1.0553040123399486,1.0281344260301286,1.0607343057889203
2014-07-18,1.0288193125383325,1.0557335738381717,1.028139298745255,1.0609846316940488
2014-07-21,1.0306320742666832,1.0561633101894026,1.028144171483475,1.0612350166743467
2014-07-22,1.0336379631549424,1.056593221464815,1.0281490442447887,1.0614854607437554
2014-07-23,1.0329649110446435,1.0570233077356124,1.0281539170291962,1.0617359639162192
2014-07-24,1.0363738205031294,1.057453569073026,1.0281587898366977,1.0619865262056862
2014-07-25,1.0355964750916624,1.0578840055483172,1.0281636626672934,1.0622371476261079
2014-07-28,1.034740687504568,1.0583146172327755,1.0281685355209833,1.0624878281914383
2014-07-29,1.0332028860686224,1.05874540419772,1.0281734083977674,1.0627385679156354
2014-07-30,1.0321857625044246,1.0591763665144986,1.0281782812976459,1.0629893668126604
2014-07-31,1.0265983852712015,1.0596075042544884,1.0281831542206188,1.0632402248964776
2014-08-01,1.0266140752121145,1.0600388174890951,1.0282929902828193,1.0635997092342722
2014-08-04,1.0301852750739124,1.0604706879037284,1.0284028380782995,1.063959315114674
2014-08-05,1.0289690871910586,1.0609027342666872,1.0285126976083128,1.064319042578777
2014-08-06,1.0306979266131142,1.0613349566496548,1.0286225688741126,1.064678891667689
2014-08-07,1.0298664899439869,1.0617673551243434,1.028732451876953,1.0650388624225315
2014-08-08,1.0269193461436905,1.0621999297624947,1.0288423466180874,1.0653989548844403
2014-08-11,1.032751870742036,1.0626326806358792,1.02895225309877,1.0657591690945647
2014-08-12,1.0321189995174935,1.063065607816297,1.0290621713202548,1.0661195050940682
2014-08-13,1.028664803081191,1.0634987113755774,1.029172101283796,1.0664799629241282
2014-08-14,1.0315870574721169,1.063931991385579,1.029282042990648,1.0668405426259358
2014-08-15,1.0394968056670584,1.0643658309337063,1.0293919964420652,1.067201244240696
2014-08-18,1.0443747877235756,1.064799464216887,1.0295019616393024,1.067562067809628
2014-08-19,1.0488316355174219,1.0652332741666035,1.0296119385836142,1.067923013373965
2014-08-20,1.0489083796417689,1.065668411306768,1.0297219272762554,1.0682840809749539
2014-08-21,1.0490438435971152,1.0661029589148465,1.0298319277184813,1.0686452706538556
2014-08-22,1.0489566428354808,1.066537299921338,1.0299419399115468,1.069006582451945
2014-08-25,1.0552060024907766,1.066972969742983,1.0300519638567074,1.0693680164105108
2014-08-26,1.0572182091388294,1.0674088175313934,1.0301619995552183,1.069729572570856
2014-08-27,1.0641360361787269,1.0678436905577438,1.030272047008335,1.070091250974297
2014-08-28,1.0633989447337966,1.0682798940268998,1.0303821062173135,1.0704530516621649
2014-08-29,1.0701328249081163,1.0687151219385254,1.0304921771834095,1.070814974675804
2014-09-01,1.0709497195272972,1.0691505271663544,1.0307159191159967,1.0712951540221096
2014-09-02,1.075045246282285,1.0695861097826271,1.0309397096277517,1.0717755486924534
2014-09-03,1.075020801733871,1.0700218698596138,1.0311635487292221,1.072256158783392
2014-09-04,1.0714050091532734,1.0704578074696134,1.0313874364309579,1.0727369843915253
2014-09-05,1.0706747200926412,1.0708939226849545,1.031611372743511,1.0732180256134964
2014-09-08,1.0613550065750887,1.0713302155779956,1.031835357677436,1.0736992825459917
2014-09-09,1.0545911602124691,1.0717666862211241,1.0320593912432896,1.074180755285741
2014-09-10,1.0539568345308208,1.0722044921947786,1.0322834734516309,1.0746624439295174
2014-09-11,1.0560385093241804,1.0726413190269437,1.032507604313021,1.0751443485741377
2014-09-12,1.0404070648947736,1.0730783238267285,1.0327317838380239,1.0756264693164617
2014-09-15,1.0444865072012455,1.0735155066666389,1.0329560120372052,1.076108806253393
2014-09-16,1.0516303346491265,1.0739528676192098,1.0331802889211332,1.0765913594818786
2014-09-17,1.0519797130542066,1.0743904067570065,1.0334046145003783,1.0770741290989085
2014-09-18,1.0475494823893439,1.0748281241526234,1.0336289887855135,1.0775571152015169
2014-09-19,1.0468204103057024,1.0752660198786845,1.0338534117871137,1.078040317886781
2014-09-22,1.0379236652189032,1.0757040940078433,1.0340778835157565,1.0785237372518217
2014-09-23,1.0399078597742453,1.0761435083732047,1.0343024039820214,1.0790073733938037
2014-09-24,1.0454545724479756,1.0765831022349401,1.0345269731964906,1.0794912264099348
2014-09-25,1.0414408970725468,1.0770228756663722,1.034751591169748,1.0799752963974665
2014-09-26,1.0470463327808976,1.0774616655561475,1.0349762579123805,1.0804595834536943
2014-09-29,1.027552738958289,1.0779006342133117,1.0352009734349767,1.0809440876759568
2014-09-30,1.0302451378221498,1.0783397817106966,1.0354257377481282,1.0814288091616366
2014-10-01,1.0230569297928043,1.0787791081211633,1.0356000841438893,1.0818610269078248
2014-10-02,1.0271720860588356,1.079218613517603,1.0357744598963339,1.0822934173997163
2014-10-03,1.0361361749771418,1.079658297972936,1.035948865010405,1.0827259807063527
2014-10-06,1.0498949875597416,1.0800981615601133,1.0361232994910468,1.0831587168968035
2014-10-07,1.0561135802726065,1.080539370858129,1.036297763343204,1.0835916260401657
2014-10-08,1.056569070710567,1.0809807603857309,1.0364722565718223,1.0840247082055636
2014-10-09,1.0572600884423595,1.0814223302165409,1.0366467791818479,1.0844579634621496
2014-10-10,1.0488953395523073,1.0818640804242112,1.0368213311782284,1.0848913918791037
